"","Quantiseq_NK_cell","Epidish_CCLE_TIL10_NK.cells","DeconRNASeq_CCLE_TIL10_NK.cells","Epidish_TIL10_NK.cells","DeconRNASeq_TIL10_NK.cells","CBSX__LM22__NK_cells_resting","CBSX__TIL10__NK.cells","CBSX__CCLE.TIL10__NK.cells"
"R4163_YZ_5",0.0485000790163735,0.0192645698624405,0.0845269697555344,0.00644479541551954,0.118306061178774,0.0648405828619751,0.00191047726473038,0.0234269819913303
"R4163_YZ_7",0.0611236870151588,0.0524144610302963,0.109045448473085,0.0195810728726543,0.118444605804888,0.0784700908132305,0,0.00414350628134694
"R4163_YZ_8",0.169637994596985,0.0298770008888061,0.213722897308106,0.0506290135301933,0.28427320119954,0.128320185557089,0.081847988780547,0.0646545633678444
"R4163_YZ_9",0.0754132953782689,0.055140767959051,0.143414377856683,0.0702503278504028,0.154730417590987,0.0496691082236999,0.0370119572047412,0.0588253946458137
"R4163_YZ_16",0.0500501672358387,0.0195748194505743,0.236072937390083,0.0133643319962059,0.248768253962618,0,0,0
"R4163_YZ_17",0.212958815736801,0.141811137285467,0.178565174695075,0.139342798111498,0.190632843229853,0.0920234771065152,0.151043191149661,0.147616389315385
"R4163_YZ_18",0.137959502038619,0.215919366333658,0.24092097754226,0.251695450887889,0.252447596252424,0.0417302840123766,0.199465441051584,0.182859427658481
"R4163_YZ_19",0.0858406911776087,0.067506925795637,0.176858981675589,0.0479929086030685,0.181897862368385,0.0878545932631507,0.0250010911802831,0.067336526409724
"R4163_YZ_20",0.0650956999608267,0.0276554373458419,0.24314394207567,0,0.259374935342965,0.093199574396465,0,0.0550793309288936
"R4163_YZ_21",0.0900383217718659,0.0228306078060658,0.106010138532206,0,0.111834438152074,0.0665782045735005,0,0.0381755499947441
"R4163_YZ_22",0.0816911976374413,0.0716248463599587,0.0995421891604386,0.012952355327921,0.110813842267953,0.086115668974557,0.010508229241106,0.08292595522912
"R4163_YZ_23",0.0623145131140107,0.090423261322549,0.0974231213722863,0.058437609634705,0.106419783528551,0.0704101678288189,0.0589550415462935,0.0793262949966529
"R4163_YZ_25",0.080155939228417,0.0519516129148792,0.0921558731600722,0,0.0983277085968652,0,0.0260669228451867,0.0945115961944267
"R4163_YZ_26",0.0772371355645847,0.15466043044344,0.232041708962419,0.0282912084592554,0.244268354199721,0.0956927975372838,0.0091983191878979,0.156193451749904
"R4163_YZ_28",0.12879520034755,0.160800510117586,0.249320862814321,0.155801591598754,0.254247768493262,0.100842206655495,0.162357250646166,0.142252166441607
