"","Quantiseq_Macrophage_M2","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACanProMet_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"R3388_YZ_35",0.0582465040893765,0.123596845123874,0.12698447494949,0,0.0686485047925987,0.0067277612565782,0,0.0768866382887666,0,0,0.0249488624786371
"R3388_YZ_36",0.0351808383591472,0.130954103010067,0.134697761442039,0,0.0611946821853703,0.0224121065681476,0,0.0743753757184626,0,0,0.128644014765487
"R3388_YZ_37",0.106391419461539,0.125328972451323,0.12501801497474,0.13191568292603,0.121514494463932,0,0,0.135347641167284,0,0.150201411671842,0.360396062363164
"R3388_YZ_38",0.0795576274934085,0.109292850606515,0.111197342983771,0.0835518169658762,0.0485051412362801,0.0423157365356206,0.0455794409640731,0.0537898621640638,0.0417975458986006,0,0.143885138120119
"R3388_YZ_39",0.110905691990628,0.129925259697695,0.128275122632362,0.177477455706396,0.0761206398927475,0.0643306173941381,0.0673346654006249,0.0933343448932027,0,0.152268155220509,0.170940915302483
"R3388_YZ_40",0.0461445299292131,0.0763281857382583,0.0733047004733396,0,0.0598085795679201,0,0,0.130434038210626,0,0,0.0990070991252191
"R3388_YZ_41",0.0819389394204933,0.145967377097964,0.146755433790504,0.0589004622967808,0.0383009417239069,0.0899922842709058,0,0.04474906205641,0,0.0350998867452966,0.0559215084270413
"R3388_YZ_42",0.0847134641469923,0.13682032019135,0.13481068408288,0.111102897531931,0.116677171968788,0.0957050804533013,0.133410014017999,0.159874709127711,0.145643940880017,0.0625764038424111,0.177149081426956
"R3388_YZ_43",0.0592462054829641,0.134461559693338,0.134562457155424,0.0403396785334323,0.0701128606419998,0.0554150554490526,0,0.0850944657674482,0,0.0862483650323342,0.341586485109093
"R3388_YZ_44",0.0727300979643035,0.13179996949714,0.132282933918667,0.0412158049637113,0.0659351465150294,0,0.0451378272972532,0.103224549957942,0,0,0.243653322481609
"R3388_YZ_47",0.0635292115359148,0.152478682534918,0.151338512810704,0.0744193848869689,0.095590039826701,0.040743009286368,0,0.109707238660089,0,0.119566228869078,0.224553479399126
"R3388_YZ_48",0.0692700947797613,0.131822555931282,0.13728116794739,0,0.0523938937922499,0.0229510578005707,0,0.0825985752816117,0,0,0.0595752249231822
"R3388_YZ_49",0.0934344478701007,0.12583315171807,0.127325342566297,0.157832516589295,0.0876003334181693,0.0520465262863257,0.108918627684686,0.1033183850989,0,0.118371581612549,0.128802774190015
"R3388_YZ_50",0.0696395524586403,0.127010585235566,0.126263735201256,0.176299775555023,0.0893543479327539,0.037196652146834,0.100316051741937,0.104000548362872,0,0.135379207884356,0.171646573430394
"R3388_YZ_51",0.0606849182431672,0.120989286772489,0.116728685925323,0.0289513678595893,0.0503952386784514,0,0.129441478239567,0.0965273725734476,0.255080123273458,0.140719629293669,0.176357994159286
"R3388_YZ_52",0.0702692097454499,0.143897890232158,0.144636849150089,0.19927625134313,0.0253455579493629,0.0278358825333535,0,0.0384594860435001,0,0.253600982367642,0.214145443033821
"R3388_YZ_54",0.0837398484770271,0.127714393686805,0.128970617922765,0.0942008976299907,0.0864041939155455,0.0331984454001178,0,0.0960964222691336,0.00968680486923981,0.147136255927061,0.0772033089009748
"R3388_YZ_55",0.041758908179525,0.110291668773466,0.109486329011966,0,0.0226965594305012,0,0,0.0612954622970614,0,0,0.074538514404649
