"","Quantiseq_NoSignature_M1","DeconRNASeq_BPRNACan_M1","DeconRNASeq_BPRNACan3DProMet_M1","DeconRNASeq_BPRNACanProMet_M1","Epidish_CBSX.LM22_M1","DeconRNASeq_CBSX.LM22_M1","Epidish_CCLE.TIL10_M1","DeconRNASeq_CCLE.TIL10_M1","Epidish_CD226_M1","DeconRNASeq_CD226_M1","Epidish_LM22_M1","DeconRNASeq_LM22_M1","Epidish_TIL10_M1","DeconRNASeq_TIL10_M1","CBSX_LM22_M1","CBSX_TIL10_M1","CBSX_CCLE.TIL10_M1","CBSX_CD226_M1"
"LUNG-NSCLC2-0714",0.0490560586580927,0.057723367841617,0.0879718464967844,0.083599044787791,0.0175959332124247,0.0716898659144305,0.643183697640137,0.19787189209406,0.331656683510052,0.304354566048629,0.0175959332124247,0.0716898659144305,0.814782788648724,0.195411091949743,0.0314519275782918,0.496608949160617,0.539063441168881,0.214674238845129
"LUNG-NSCLC2-0715",0.19090759466766,0.0652407644153748,0.0914677280462418,0.0886976007342403,0.0392376850872302,0.0628722987964879,0.577572107495265,0.384256083016219,0.208882082641451,0.252660037422891,0.0392376850872302,0.0628722987964879,0.838881902327824,0.368930606430353,0.0416406006982038,0.427573362012292,0.56521038780515,0.261966149697664
"LUNG-NSCLC2-0718",0.0913458605710954,0.0761305170935889,0.0925767362649026,0.116065097642615,0.017006268448604,0.088205470995625,0.432448717621813,0.457354278017738,0.215234355234521,0.23879941867484,0.017006268448604,0.088205470995625,0.811115711877926,0.470375763063821,0,0.386959402886771,0.41401536656876,0.312295349200926
"LUNG-NSCLC2-0720",0.255762211798575,0.0728609541892419,0.107469306938498,0.101425977835252,1.33813459229691e-05,0.0324270655878519,0.577382366220242,0.326065472517522,0.159742846675074,0.239675220928161,1.33813459229691e-05,0.0324270655878519,0.977360173286338,0.314652163907386,0.0099439245613864,0.467028454388811,0.536635971919416,0.239685477890912
"LUNG-NSCLC2-0727",0.0619154565872506,0.0784902396578376,0.113135152275078,0.106811021092357,0,0.0302564111462272,0.599066613949384,0.286557615351489,0.204025891636151,0.249465889488506,0,0.0302564111462272,0.986180431221926,0.25228151311382,0,0.409435429554989,0.367456725898662,0.281925982056362
"LUNG-NSCLC2-0728",0.0417213888707155,0.0641929413379415,0.0980788571627604,0.0914797765689328,0.0085645620214026,0.0494812470696956,0.550949636501231,0.164072192327543,0.0925471687008731,0.119570401347971,0.0085645620214026,0.0494812470696956,0.647813793947598,0.136308445233622,0.0230306606208119,0.663998572348196,0.474068376752734,0.174683699793968
"LUNG-NSCLC2-0729",0.0585082452211868,0.0748550653003976,0.109001606467251,0.104392495716651,0.0196448542686247,0.0584653528751396,0.592180093993242,0.218884853560488,0.207438791922216,0.207684185399415,0.0196448542686247,0.0584653528751396,1,0.206540191579235,0,0.450559694326123,0.487540729314756,0.177714201009076
"LUNG-NSCLC2-0730",0.0312279325926648,0.0494942309574558,0.0766079172207349,0.080303178471702,0.0150996843317127,0.0602015180992186,0.526101939265176,0.166214830519233,0.243900135403863,0.267383249688957,0.0150996843317127,0.0602015180992186,0.840878770425349,0.203836000568543,0.0317797131408813,0.494657841949219,0.421271173020833,0.248791267043652
"LUNG-NSCLC2-0732",0.0959258404703335,0.0690623280334661,0.0991317810201081,0.108665106498615,0.0324467728089974,0.10703976498849,0.405323747800869,0.297817922664807,0.369571654897037,0.280714984390342,0.0324467728089974,0.10703976498849,0.77591215983433,0.327829739902221,0.0344227692014911,0.554019247079445,0.413934310588718,0.23479332499922
"LUNG-NSCLC2-0734",0.162494882952455,0.0848378277565297,0.104818106960694,0.0983008424647054,0.0441386880209616,0.112215659935625,0.209954906675105,0.272535914405205,0.121438893059827,0.13465054324191,0.0441386880209616,0.112215659935625,0.233062198967912,0.263530814835046,0.0468389163618543,0.207658217647511,0.212828634969281,0.172461607304523
"LUNG-NSCLC2-0736",0.0578112509732355,0.0741329403698046,0.101269557214885,0.0977666654994178,0,0.0461210331690649,0.723523385772045,0.271040679034933,0.224435136569872,0.225918500276303,0,0.0461210331690649,1,0.26077913529979,0.0074445620907225,0.402759242410984,0.623577091466971,0.252085126157056
"LUNG-NSCLC2-0737",0.0614708989728444,0.0615744165719552,0.0911725042787235,0.0862759878893962,0.0041055211829071,0.0364337986681521,0.305333492853051,0.376304069231929,0.31788604003099,0.331409055889181,0.0041055211829071,0.0364337986681521,0.898503011482349,0.361943128319734,0,0.5982951520001,0.289276623834564,0.277434474884103
"LUNG-NSCLC2-0740",0.021223927234411,0.0692794063375572,0.102215480272858,0.108107966230754,0,0.0390489307916874,0.313144877386916,0.0935258683576954,0.323668488965233,0.164860747621205,0,0.0390489307916874,0.90314312004111,0.105364776402323,0.0063429111144556,0.228106471347119,0.121128671822192,0.13384258380918
"LUNG-NSCLC2-0742",0.116230480322485,0.0672497201957903,0.101289073192907,0.0942227983884805,0.0087688895512993,0.0412454635116047,0.586186879154082,0.361643797814661,0.17101227372926,0.266058219656397,0.0087688895512993,0.0412454635116047,0.977241683707273,0.344633496935936,0.0150941453894249,0.348005632031834,0.452475771262785,0.300197966832391
"LUNG-NSCLC2-0743",0.101923056049485,0.0764026263768517,0.113223014516296,0.106984958681905,0,0.0343916524469633,0.288941906876732,0.346901015553874,0.130564803311211,0.255421882603679,0,0.0343916524469633,0.555129650254025,0.332950616599083,0,0.439074417399765,0.319724333476239,0.239123956277853
