"","Quantiseq_Macrophage_M2","Epidish_CCLE_TIL10_Macrophages.M2","DeconRNASeq_CCLE_TIL10_Macrophages.M2","Epidish_CD226_M2","DeconRNASeq_CD226_M2","Epidish_TIL10_Macrophages.M2","DeconRNASeq_TIL10_Macrophages.M2","CBSX__TIL10__Macrophages.M2","CBSX__CCLE.TIL10__Macrophages.M2","CBSX__CD226__M2"
"LP.01.64",0.0417843975790901,0.0204128497618206,0.00746807250905937,-0.00345714334640866,0.0515180836674372,0.0389062209350581,0.0400993091269106,0.0126066393071236,0.0817246252704115,0.17281764657517
"LP.01.66",0.0603611831554029,0.0397333664752286,0.0510376428971412,0.00967501682258804,0.036774110705322,0.0536358616486219,0.0686604943018201,0.182177462312992,0.113005730819733,0.212234782949413
"LP.01.67",0.0898531411509752,0.0890111866689782,0.0631968365117859,-0.00345714334640866,0.0764013199090099,0.0389062209350581,0.0711645032186616,0.0126066393071236,0.071296364420592,0.101003505830196
"LP.01.68",0.107480900349113,0.274999858580611,0.0543669740768196,0.0144526575047584,0.0908645327524519,0.186243195324027,0.0609534662961458,0.0939525539565847,0.156049190770305,0.248415740256252
"LP.01.70",0.107433958905092,0.0360090577317482,0.134098642926161,-0.00345714334640866,0.0046788527503873,0.15937218200951,0.18974520169664,0.0476965918340869,0.0448884354505684,0.152958446474652
"LP.01.71",0.0520405229561081,0.053385039686799,0.0518346309618652,-0.00345714334640866,0.0046788527503873,0.114376361222747,0.0811331619137541,0.0484947518588281,0.0404527346919526,0.17617216375089
"LP.01.72",0.0144193871664988,0.0204128497618206,0.00982311427102606,-0.00345714334640866,0.0046788527503873,0.0389062209350581,0.0232024137937373,0.0126066393071236,0.0358224483614454,0.105646523334118
"Test.FFPE.01",0.0881427152589999,0.0222877748016136,0.0815405667878847,0.00357462201812394,0.00788177212456784,-0.0070859184852896,0.12895838604091,0.0647374625084651,0.0509180757425538,0.130711628779685
"Test.FFPE.02",0.0614934870593645,0.0472768041176444,0.054893013967878,0.00357462201812394,0.0135357510471439,0.0179988933184694,0.0782131774347348,0.0200230134953176,0.0421105814711838,0.145915042483597
"Test.FFPE.03",0.0966134148279461,0.224498549485114,0.105994845234543,0.00357462201812394,0.0440106458425404,0.129650097855223,0.114476423359598,0.211594667267524,0.201152426915347,0.166603919703867
"Test.FFPE.04",0.0783251280080667,0.120759677478936,0.121992301463765,0.00357462201812394,0.0364234987610495,0.196627687518802,0.148823000593953,0.0200230134953176,0.274949149196199,0.142166609690315
"Test.FFPE.05",0.0547319034414729,0.0222877748016136,0.0163510183170642,0.00357462201812394,0.00788177212456784,-0.0070859184852896,0.0157493721543261,0.0200230134953176,0.00400132237695745,0.144484374146738
"Test.FFPE.06",0.0417046060860239,0.0617940477945245,0.0704469544185556,0.00357462201812394,0.0903701381864668,0.0618107401293377,0.115739948242533,0.29216113588576,0.148447526898785,0.238080188778578
"Test.FFPE.07",0.0858864541455232,0.0919700821834036,0.0937738235966289,0.00357462201812394,0.00788177212456784,0.174700071221575,0.142644737857433,0.0200230134953176,0.00921628864714891,0.130680708701776
"Test.FFPE.08",0.0437190789666251,0.0222877748016136,0.0507252739531305,0.00357462201812394,0.0475239674453038,-0.0070859184852896,0.0720992998791096,0.0200230134953176,0.00400132237695745,0.168454725344989
"Test.FFPE.09",0.0367788706746379,0.0222877748016136,0.0491002207238355,0.00357462201812394,0.00788177212456784,-0.0070859184852896,0.0862887175578236,0.0200230134953176,0.00400132237695745,0.17294360432275
"Test.FFPE.10",0.102247893944536,0.130079896187928,0.0847515504105339,0.00357462201812394,0.016424337593708,0.266478123830434,0.10985484870994,0.116611448099781,0.0624951676244283,0.197605254970207
